HERD NAME,STATE,BREED,TOTAL COWS,COWS IN MILK,PERCENT 1ST LACTATION,MILK HERD,FAT PERCENT AVERAGE,PROTEIN PERCENT AVERAGE,FAT AND PROTEIN,ENERGY CORRECTED MILK,SOMATIC CELL COUNT HERD,DAYS IN MILK HERD,MILK LACTATION ONE,MILK OVER 270 DAYS IN MILK,PERCENT OVER 270 DAYS IN MILK,FIRST MILK LACTATION ONE,FIRST MILK LACTATION TWO,FIRST MILK LACTATION THREE PLUS,PEAK MILK LACTATION ONE,PEAK MILK LACTATION TWO,PEAK MILK LACTATION THREE PLUS,FOUR WEEK MILK LACTATION ONE,FOUR WEEK MILK LACTATION TWO,FOUR WEEK MILK LACTATION THREE PLUS,EIGHT WEEK MILK LACTATION ONE,EIGHT WEEK MILK LACTATION TWO,EIGHT WEEK MILK LACTATION THREE PLUS,DRY MATTER INTAKE,EFFICIENCY BY ENERGY CORRECTED MILK,PERCENT HEAT DETECTION,PERCENT PREGNANCY RATE,PERCENT PREGNANT HERD,CALVING INTERVAL,DAYS FIRST BREED AVERAGE,DAYS OPEN AVERAGE,DAYS OPEN MONTH AVERAGE,PERCENT OPEN GREATER THAN 150 DAYS,INVERSION,SOMATIC CELL COUNT GREATER THAN 500,EVALUATION DATE
HERD002,ID,Holstein,1095,955,41.15183246,79.85413613,3.788167539,3.113193717,5.511022412,83.41764576,262.2764141,197.1591623,76.86310433,66.45967742,25.7591623,70,86.31034483,85.45833333,95.82631579,108.9514925,113.97,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,7.772020725,0,Jan 04 2018
HERD002,ID,Holstein,1171,969,43.03405573,79.82352941,3.911867905,3.148503612,5.635837734,84.86632363,303.8420502,191.9360165,74.70263789,65.91538462,26.625387,53.41573034,89.9,94.58064516,95.63722826,109.4329502,115.2307692,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,4.473161034,0,Feb 01 2018
HERD002,ID,Holstein,1183,994,43.46076459,77.17052314,3.870724346,3.194869215,5.452555514,81.90504032,270.9656965,185.4587525,73.67060185,63.14,29.07444668,56.65,80,88.09090909,91.53012048,108.4531835,115.1476038,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,7.881773399,0,Mar 08 2018
HERD002,ID,Holstein,1186,1001,43.45654346,77.83706294,3.845754246,3.077222777,5.388641982,81.67756384,294.3887755,180.4075924,73.92643678,61.06809339,25.47452547,63.65789474,92.85185185,88.72340426,92.05867971,108.8358779,115.7354839,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,6.194690265,0,Apr 05 2018
HERD002,ID,Holstein,1218,1001,43.15684316,76.36123876,3.792007992,3.075724276,5.244285434,79.59257176,293.7737003,178.0959041,70.63333333,58.45418502,22.27772228,55.29545455,88.57777778,86.84848485,90.04430993,108.3978873,115.6369427,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,7.884615385,0,May 03 2018
HERD002,ID,Holstein,1203,1034,41.7794971,75.89825919,3.702901354,2.944874275,5.045545977,77.49741349,306.8306773,175.7804642,70.52268519,59.92644231,19.92263056,65.6,85.46428571,87.775,88.67817746,108.137457,114.6984615,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,5.741626794,0,Jun 07 2018
HERD002,ID,Holstein,1191,1029,40.13605442,76.55918367,3.662293489,2.981341108,5.086312413,77.98129023,279.0688976,181.1273081,70.23486683,59.55957447,22.74052478,48.41176471,79.65625,79.46938776,88.75839599,108.1279461,114.3461538,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,5.649717514,0,Jul 05 2018
HERD002,ID,Holstein,1194,1053,38.84140551,75.55622032,3.826020893,2.913390313,5.092044379,78.16652773,284.7696793,177.8148148,69.31613692,55.1049505,19.18328585,54.59375,83.87096774,81.82051282,88.64583333,106.990099,113.2685714,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,3.28022493,0,Aug 02 2018
HERD002,ID,Holstein,1698,1428,29.06162465,70.95511204,3.925070028,3.085854342,4.974609242,75.22561006,199.0150538,171.3578431,65.30795181,56.36290323,17.08683473,51.7804878,75.08,82.21212121,75.4828496,90.90047393,98.75114379,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,4.332874828,0,Feb 06 2020
HERD002,ID,Holstein,1714,1454,28.19807428,70.43184319,4.207702889,3.193191197,5.212586117,77.79628778,150.2711864,167.9766162,64.5102439,56.921875,17.33149931,59.46153846,73.31578947,80.64383562,75.40053763,90.859375,97.61184211,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,3.848750844,0,Jan 02 2020
